cell_id,program_slot,original_opportunity_index,cumulative_ptrs,phase2_probability,phase3_probability,regulatory_probability,cost_multiplier,peak_sales_multiplier,phase2_duration_years,phase3_duration_years,regulatory_duration_years,opportunity_hash
0,0,2,0.14973565905117964,0.2872218185981478,0.5758838988539161,0.905259048531167,1.0029768103126502,0.7702990306815467,1.5,2.5,1.0,5c530a91c0355628
0,1,4,0.1830153590713733,0.32305495603812195,0.6165775339969745,0.918805177493591,1.165091798227176,0.9782985234101467,2.0,3.0,1.0,5c530a91c0355628
0,2,0,0.19372815974960486,0.3341783471990482,0.6284253066452319,0.9224881171853827,0.9236741268812675,0.9264327691219145,1.5,2.5,1.0,5c530a91c0355628
0,3,5,0.1483705732131256,0.2857043324219153,0.5740696249712299,0.9046204062868644,1.0442748967644033,0.8148991578283615,2.0,3.0,1.0,5c530a91c0355628
0,4,1,0.17275951437046222,0.3122317093591625,0.6047048704778042,0.9150008580649124,1.0323159291832433,1.0860221586761154,2.5,3.5,1.0,5c530a91c0355628
0,5,3,0.15051220815290212,0.2880831973329002,0.5769102946613318,0.9056189677787609,0.9769635748053218,1.2723013193145958,1.5,3.0,1.0,5c530a91c0355628
1,0,3,0.16598257655917237,0.3049781467806438,0.5965501530446037,0.9123192095559647,1.0790637541780546,1.0616887331936709,1.5,2.5,0.5,95ed30664966b464
1,1,0,0.14396869961686592,0.28078187028635115,0.5681305059626915,0.9025076875512346,1.0341826661971283,1.270990773265601,1.5,2.5,0.5,95ed30664966b464
1,2,1,0.15317144419000409,0.29102285030987685,0.580394433307143,0.9068333403067266,1.109868871729215,0.8354842916724736,1.5,2.5,1.0,95ed30664966b464
1,3,4,0.15442013138381339,0.2923979180667562,0.5820143493924267,0.9073940964743062,0.9604448911324204,0.9026201125710175,2.5,3.5,1.0,95ed30664966b464
1,4,5,0.11727569503956642,0.24984962935619923,0.5288179935218074,0.8876118302919553,0.7858645786785945,0.9961725569616156,2.0,3.0,1.0,95ed30664966b464
1,5,2,0.11723033968694604,0.2497952780621503,0.5287457310343227,0.8875828963997356,0.8457990065600463,1.1256383354622501,1.5,2.5,1.0,95ed30664966b464
2,0,5,0.19913429156559737,0.3397262289698824,0.6342051503838573,0.9242452140395034,1.0508374377159475,1.0144778121983522,2.0,3.0,1.0,cdba3dd3941a4a9a
2,1,1,0.11024232845471285,0.2413373510954168,0.5173562331307923,0.8829460134033827,0.9708647096064345,1.2092119012458096,2.5,3.5,1.0,cdba3dd3941a4a9a
2,2,0,0.18630209242562093,0.3264866666501711,0.6202702875848712,0.9199649997447044,0.8840829465539598,0.6930569092015144,1.5,2.5,1.0,cdba3dd3941a4a9a
2,3,4,0.15234965922545596,0.29011605792463085,0.5793227519277316,0.9064610227481193,1.1804787067119584,1.3277397381282503,1.5,2.5,1.0,cdba3dd3941a4a9a
2,4,2,0.16191328970867813,0.30058113067249087,0.5915271651482035,0.9106386712034075,0.8166050609894635,1.0431510379893918,1.5,2.5,1.0,cdba3dd3941a4a9a
2,5,3,0.19733728590973382,0.33788678413288503,0.6322981489739129,0.923668291338894,1.1097349478324983,1.0601626100118187,2.0,3.0,1.0,cdba3dd3941a4a9a
3,0,2,0.09876860874880503,0.22705475731397473,0.49744934654917805,0.874459028087367,0.8602070060420137,0.7146400446522114,2.5,3.5,1.0,68122c903bb981ee
3,1,4,0.16217859825993536,0.30086878904800096,0.5918576434731748,0.9107499240936869,0.9018800933912832,1.2115003510642381,2.0,3.0,1.0,68122c903bb981ee
3,2,5,0.1445850947972307,0.28147389408399515,0.568970477445536,0.9028085640893576,1.041527131118318,0.8415572135515355,1.5,2.5,1.0,68122c903bb981ee
3,3,3,0.16015585141214805,0.2986721162644047,0.5893272956493332,0.909895620627591,0.9532283934191296,1.4460517729967077,1.5,2.5,0.5,68122c903bb981ee
3,4,0,0.15684387094180835,0.295057520082894,0.5851298979604475,0.9084657838424113,0.971771915298068,1.1120139489875092,2.5,3.5,1.0,68122c903bb981ee
3,5,1,0.09902177778802213,0.22737570458780676,0.4979062962158322,0.8746595516603671,1.108830065625435,1.0116192048635506,2.0,3.0,1.0,68122c903bb981ee
4,0,2,0.19041385802715494,0.33075588920931326,0.6248172630700746,0.921378229944754,1.0332112802766031,1.159656893265661,2.0,3.0,1.0,9e719d445afde677
